MonthYear,CPI,unrate,unrate_men,unrate_women,unrate_16_to_17,unrate_18_to_19,unrate_20_to_24,unrate_25_to_34,unrate_35_to_44,unrate_45_to_54,unrate_55_over,femaDeclarationString,disasterNumber,state,declarationType,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,tribalRequest,fipsStateCode,declarationRequestNumber,U.S. All Grades All Formulations Retail Gasoline Prices Dollars per Gallon,Energy Related CO2missions (Gigatonnes),Oil Production (Million barrels per day),Natural Gas Production (Billion Cubic Metres),Coal Production (million tons),Electricity Generation (Terawatt-hours),Hydroelectricity consumption in TWh,Nuclear energy consumption in TWh,Installed Solar Capacity (GW),Installed Wind Capacity in GW
01/1994,146.2,7.3,7.9,6.7,21.8,17.2,12.2,7.4,5.9,4.6,5.0,DR-1008-CA,1008,CA,DR,Earthquake,NORTHRIDGE EARTHQUAKE,0,1,1,0,0,6,94003,0.998,1.7249999999999999,66.89,174.64166666666665,366.8333333333333,1076.4166666666667,198.51333333333332,184.79999999999998,0.0,0.24916666666666668
01/1995,150.3,6.2,6.6,5.8,20.4,15.1,9.7,6.6,4.9,3.7,4.3,DR-1044-CA,1044,CA,DR,Severe Storm,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, MUD FLOWS",0,1,1,0,0,6,95009,1.13,1.7750000000000001,67.85,178.00833333333333,379.75,1114.5833333333333,209.03666666666666,192.90333333333334,0.0,0.29083333333333333
01/1996,154.4,6.3,6.5,6.0,21.2,17.1,11.1,6.2,4.8,4.1,4.0,DR-1098-VA,1098,VA,DR,Flood,"FLOODING, HIGH WINDS, AND WIND DRIVEN RAIN",0,0,1,0,0,51,96032,1.137,1.8083333333333333,69.67,185.83333333333334,385.1666666666667,1149.0833333333333,212.41,199.76,0.0,0.5083333333333333
01/1996,154.4,6.3,6.5,6.0,21.2,17.1,11.1,6.2,4.8,4.1,4.0,DR-1098-VA,1098,VA,DR,Flood,"FLOODING, HIGH WINDS, AND WIND DRIVEN RAIN",0,1,0,0,0,51,96032,1.137,1.8083333333333333,69.67,185.83333333333334,385.1666666666667,1149.0833333333333,212.41,199.76,0.0,0.5083333333333333
01/1996,154.4,6.3,6.5,6.0,21.2,17.1,11.1,6.2,4.8,4.1,4.0,DR-1098-VA,1098,VA,DR,Flood,"FLOODING, HIGH WINDS, AND WIND DRIVEN RAIN",0,1,1,0,0,51,96032,1.137,1.8083333333333333,69.67,185.83333333333334,385.1666666666667,1149.0833333333333,212.41,199.76,0.0,0.5083333333333333
01/1996,154.4,6.3,6.5,6.0,21.2,17.1,11.1,6.2,4.8,4.1,4.0,DR-1097-OH,1097,OH,DR,Flood,SEVERE STORMS AND FLOODING,0,0,1,0,0,39,96029,1.137,1.8083333333333333,69.67,185.83333333333334,385.1666666666667,1149.0833333333333,212.41,199.76,0.0,0.5083333333333333
01/1996,154.4,6.3,6.5,6.0,21.2,17.1,11.1,6.2,4.8,4.1,4.0,DR-1097-OH,1097,OH,DR,Flood,SEVERE STORMS AND FLOODING,0,1,0,0,0,39,96029,1.137,1.8083333333333333,69.67,185.83333333333334,385.1666666666667,1149.0833333333333,212.41,199.76,0.0,0.5083333333333333
01/1996,154.4,6.3,6.5,6.0,21.2,17.1,11.1,6.2,4.8,4.1,4.0,DR-1097-OH,1097,OH,DR,Flood,SEVERE STORMS AND FLOODING,0,1,1,0,0,39,96029,1.137,1.8083333333333333,69.67,185.83333333333334,385.1666666666667,1149.0833333333333,212.41,199.76,0.0,0.5083333333333333
01/1996,154.4,6.3,6.5,6.0,21.2,17.1,11.1,6.2,4.8,4.1,4.0,DR-1096-WV,1096,WV,DR,Flood,FLOODING,0,1,0,0,0,54,96028,1.137,1.8083333333333333,69.67,185.83333333333334,385.1666666666667,1149.0833333333333,212.41,199.76,0.0,0.5083333333333333
01/1996,154.4,6.3,6.5,6.0,21.2,17.1,11.1,6.2,4.8,4.1,4.0,DR-1096-WV,1096,WV,DR,Flood,FLOODING,0,1,1,0,0,54,96028,1.137,1.8083333333333333,69.67,185.83333333333334,385.1666666666667,1149.0833333333333,212.41,199.76,0.0,0.5083333333333333
01/1996,154.4,6.3,6.5,6.0,21.2,17.1,11.1,6.2,4.8,4.1,4.0,DR-1095-NY,1095,NY,DR,Flood,SEVERE STORMS AND FLOODING,0,0,1,0,0,36,96027,1.137,1.8083333333333333,69.67,185.83333333333334,385.1666666666667,1149.0833333333333,212.41,199.76,0.0,0.5083333333333333
